,typesOrg,number,numberOrg
0,formula one team,221,1
1,auto racing team,72,1
2,formula one team | organization,53,2
3,automobile manufacturer | formula one team,22,2
4,formula one team | racecar constructor,22,2
5,auto racing team | stable,17,2
6,business | formula one team | organization,6,3
7,formula one team | stable,5,2
8,auto racing team | automobile manufacturer,4,2
9,formula one team | sports organization,3,2
10,sports club,2,1
11,car club | charitable corporation | clan | motorsport club,2,4
12,auto racing team | formula one team,2,2
13,auto racing team | driver development program | sports team,1,3
14,association football club | business | men's association football team | public company,1,4
15,auto racing team | automobile manufacturer | business | sub-brand,1,4
16,auto racing team | formula one team | racecar constructor | stable,1,4
17,business | sports organization,1,2
18,formula one team | motorcycle racing team,1,2
19,formula one team | sports club,1,2
20,organization,1,1
21,racing automobile model,1,1
22,sports team,1,1
23,stable,1,1
